,Thyroidhormones
0,-0.026226400785967257
1,-0.03138522011786562
2,-0.04266198349750276
3,-0.029285785098737582
4,-0.017484267190644644
5,-0.039023542795093985
6,-0.03620145720756899
7,-0.033352764125995915
8,-0.0436458633924549
9,-0.033352764125996144
10,-0.03480626652483538
11,-0.012248234474916816
12,-0.027284338640948386
13,-0.031158935839096756
14,-0.027542474367708535
15,-0.06500779879115018
16,-0.026760598211363933
17,-0.05638004719089212
18,-0.023068241084765736
19,-0.011656178127096748
20,-0.03138522011786574
21,-0.027284338640948206
22,-0.03356426126203685
23,-0.032274495793654795
24,-0.03138522011786552
25,-0.03865916933712655
26,-0.03659031323171938
27,-0.05041661984167591
28,-0.01865898917036172
29,-0.02180671249540194
30,-0.02147975676387378
31,-0.020118869594175026
32,-0.041993258971571676
33,-0.035008983827295406
34,-0.04662471250838628
35,-0.015782539792635022
36,-0.02976512602515435
37,-0.049852026231361105
38,-0.032054489849515505
39,-0.032710068743102914
40,-0.03678319971967181
41,-0.021147746721890813
42,-0.052882749760720014
43,-0.02147975676387379
44,-0.051664401566818764
45,-0.045549912205580294
46,-0.03500898382729543
47,-0.03902354279509395
48,-0.03335276412599619
49,-0.013353829645327482
