,Thyroidhormones
0,0.002217945818464395
1,-0.012409540513532265
2,0.003692229226869017
3,-0.019309547917779654
4,-0.020248843356897573
5,-0.013279085368402601
6,-0.007387931385521046
7,0.00177435128441029
8,-0.00956138841904511
9,-0.01843091542672161
10,-0.019320733164418024
11,0.002646579684695965
12,6.760122601759036e-05
13,0.005348435646641138
14,-0.02181902702743658
15,0.0014248564315468676
16,-0.015873991956725335
17,-0.00953191249921441
18,0.0005076732402521646
19,-0.01951689234742918
20,0.015051509907069643
21,0.006100644891459565
22,-0.029035330120457666
23,-0.005763076486692013
24,-0.01065074887118586
25,0.013622722468119129
26,-0.010895175250426352
27,-0.023334197557721908
28,-0.0019854484824411113
29,-0.031380922690406064
30,-0.007738858620748177
31,-0.01187761864473571
32,-0.010968284769791455
33,-0.022050108672225024
34,-0.013993016132752566
35,-0.013086395986357418
36,0.00283814281472944
37,0.009420239092614833
38,-0.0002433602074602361
39,0.005032612001945616
40,0.0011217500013676518
41,-0.002233445722903482
42,-0.036283079651050314
43,-0.014635306325130921
44,-0.013612001672398268
45,0.0006280886630140447
46,-0.012824692311208006
47,-0.0007980652750881392
48,-0.01597984189788367
49,-0.009003119713584978
