,Thyroidhormones
0,0.013086019833543178
1,0.00933915407317798
2,0.013294819668836541
3,-0.004521056735181933
4,-0.003388057146767342
5,0.0002449328751723207
6,-0.013885270614365616
7,0.01344143636958297
8,0.009640453287850263
9,-0.026021716984601553
10,-0.003948518504193629
11,-0.0068388757732189475
12,0.010938032678433579
13,0.002942163598408883
14,-0.0073663058068916525
15,0.0006165543172371071
16,-0.002067073461777553
17,0.007035413096367893
18,-0.005646401286820793
19,-0.009030195737226042
20,0.005876731667124179
21,-0.0014953103696682792
22,-0.012504442789368271
23,-0.007470355691246638
24,-0.0015077547113325472
25,-0.02123474580252196
26,-0.019514082129548773
27,0.0015207581592808382
28,0.0196542646970704
29,-0.004049393713862926
30,0.0064885356878466634
31,0.0014297239421884817
32,-0.0055299802975829005
33,0.011342037272656879
34,-9.605799366356234e-05
35,0.006382493775469271
36,0.0017478653681566422
37,0.005098762692391589
38,0.006634971832522138
39,-0.018072020193174394
40,-0.0017681599986364767
41,0.005033831582065525
42,0.011974329610038786
43,0.00012499968447865023
44,-0.0006658045005229051
45,0.009455590669012276
46,0.036720784711773605
47,-0.005553005596984982
48,4.5501655195350194e-05
49,-0.014001518897552618
