,clinical_OSA
0,0.5078069463842171
1,0.4995442114858706
2,0.5045871559633027
3,0.5041313674491733
4,0.5
5,0.4990884229717411
6,0.4990884229717411
7,0.4990884229717411
8,0.4977210574293528
9,0.4995442114858706
10,0.5027640019067849
11,0.5041313674491733
12,0.4990884229717411
13,0.4986326344576117
14,0.5041313674491733
15,0.5041313674491733
16,0.4990884229717411
17,0.4990884229717411
18,0.5036755789350438
19,0.5036755789350438
20,0.5
21,0.4995442114858706
22,0.5
23,0.5041313674491733
24,0.4986326344576117
25,0.5036755789350438
26,0.5041313674491733
27,0.5
28,0.5
29,0.4995442114858706
30,0.5036755789350438
31,0.4990884229717411
32,0.5
33,0.5036755789350438
34,0.4986326344576117
35,0.5045871559633027
36,0.5
37,0.5082627348983465
38,0.5032197904209145
39,0.5091743119266054
40,0.5041313674491733
41,0.4986326344576117
42,0.4981768459434822
43,0.4995442114858706
44,0.5
45,0.4990884229717411
46,0.5036755789350438
47,0.5
48,0.5082627348983465
49,0.5041313674491733
